,0
70,"why 9 to 5? because then we have the rest of the day and weekends to ourselves.....you know, you can look for a job, you can look for an apartment, but looking for a compatible partner is the hardest part of life....we want the perfect shape, the perfect wallet, the perfect look, the perfect height and we lose the possibility that something beautiful can happen...if you are single 45+ and frustrated with the singles' scene...lets try to find each other."
71,Im a young plus sized black girl looking for some fun this summer want to get to know someone special dont want to waste my time either not looking for sex looking for more than that. Interested in black guys mainly but I love all races. Ages need to be at least 18-25. If interested email me back with your picture and age.
72,Young black girl looking for some fun this summer want to get to know someone special dont want to waste my time either not looking for sex looking for more than that.  Interested in black guys mainly but I love all races. Ages need to be at least 18-25. If interested email me back with your picture and age.
73,"Free this July 4th weekend! If you're handsome, fun, and also not busy... come over and watch some tv. I just watched the first episode of ""Orange is the New Black, Season 3"" and it's awesome! We can re-watch first episode and then netflix-binge together. I have a bottle of wine, some popcorn, and soft blanket to cuddle under! We can meet in the lobby of my building on 72nd and 1st. Send a pic and basic info for mine."
74,"I am fun Asian girl, petite 5'2"" very fit, Intelligent, Educated Clean, work out daily, enjoy for dining, drinking and relaxing with nice company. specially love to eat Sushi/Italian/Tapas etc. Would you take me your favorite restaurant ? Also, no smoking( hate smoking) but also social drinker. I am looking for someone who is responsible, down to earth,enjoy life, eating,sense of humor,work out, true and for real, Educated, Easy-going and Successful. 33-50 living NYC Metro Area.Sam or Sbm. Please reply only you can provide your picture and briefly describe you information: Your height, your age, your profession.residence area etc.. No spam.No game please."
75,"I know this is a bit unused to find here but I am attractive and intelligent girl. I am passionate, fun, interesting and honestly looking for something connection. This may not be your cup of tea but if it is I would love to explore this with you. 

Are you a professional who is between 35-45 also looking for someone who you can get away with. Share a nice glass of wine, talk about our days or just forget about them? Flirt, laugh, talk and be passionate?

I know there is someone out there - so if you read this and are exhilarated, tickled of just want to explore that other side of normal drop me a note. 

Let's see where it goes..."
76,If your into thick girls this Ad is clearly NOT FOR YOU .. AND YOUR MISSING OUT Thick girls are the Best ?? Email me . No pic no reply need to know who im speaking to ?
77,Tell me your views on the things going on in this world.... I'm a 22 year old Jamaican Anerican Thick woman who's mind wanders im open to any opinion and any race I love a man with a mind of his own.... Talk to me...
78,Small bbw looking for a great guy to get to know and go from there. Not looking for a fwb or NSA. Your pic gets mine!
79,"My plans for tomorrow fell through and I just dont want to waste a Saturday, especially since I'm off from work. If anyone else can relate perhaps we should get together. I'm pleasant to be around, fun, educated and won't disappoint in looks either. If you can include a picture and mention what you're looking for, that would be great. I will reply with mine in return. Thanks everyone!"
80,"I stay in Long Island and looking for someone living in the surroundings (Hicksville, Garden city, Bethpage, Uniondale etc) to date, travel, spend time together & build something special.
I'm black and interested in interracial dating. Only men between 30-43 years old."
81,"I'm a 30-something Black woman.
I am looking for a travel buddy - someone who can show me the world on their dime. I do have a job that keeps me here, so I wouldn't be able to go with you everywhere. But if you travel to NY or take weekend trips I can tag along :)

Of course we'd have pleasure-filled nights, days of us making one another feel good (think sessions of us cumming repeatedly).
No, I am not a gold digger, but I haven't traveled the world like I wanted to and I'm tired of encountering men who don't treat me well.

About Me:

Black
Thick build - Large Breasts (36DD), nice booty
Nice lips 
Big brown eyes
Long Black hair

I'm into:  Forced orgasms, facials, doggystyle, oral, titty banging, being restrained, rough sex, deep throating, nipple nibbling/biting, some slapping.
I have a preference for Caucasian men. Please be DDF

Please send a photo and tell me more about you."
82,"I'm Black, thick, have 36 DDDs, big brown eyes, brown hair.

I'm looking for a man (ages 30-36, preferably Caucasian or Mixed) who can give me forced orgasms. Either through aggressively stimulating my g-spot and clit with your fingers. It is NOT easy to make me orgasm, so I am looking for someone who knows exactly what I mean when I mention aggressive g-spot stimulation. If you don't have experience with this, please don't message me.



BE CLEAN. BE SANE. BE DRUG FREE. BE SINGLE - I am not dealing with a married/taken man. Please don't flake on me either."
83,"Socially awkward, but great breasts. Seeking coitus with hirsute gent.*

*You do not bandy about corporate cliches, e.g., ""circle back,"" ""synergy,"" ""going forward,"" etc."
84,"Let's order in and snuggle and enjoy our night together. Get a few drinks, unwind, looking for tonight."
85,"Hi nice guy who happens to code.  I'm a nice girl in the graphic arts and I'm trying to build a website.  I'm trying to do a mild customization of a template on format.com 
I also have a great body and a pleasant demeanor. 
And maybe we can meet up and I can thank you for your altruistic efforts."
86,"I am a woman who enjoys having a man truly be a man and a provider. I like spending my time with a mature individual who knows how to treat a woman, and he knows how to make the most of each moment we spend together. 
I am seeking an intelligent, articulate, successful man for a relationship. 
I want to meet an individual who is open to new things and enjoying quality time with good company. That would be me of course. 
Lets indulge on a glass of wine and a fabulous meal.
******* please send me a photo of yourself and change the subject line to "" Thursday  "" Any potential who failed to follow these simple instructions will be deleted.*********"
87,"Early 30s, average height, bottom heavy bbw looking for a hot summer romance with all year long possibilities. I'm attracted to tall, good looking guys in their 30s to early 40s, race unimportant and preferably no kids... If you fit the description send me a pic and I will reply with mine"
88,"I am a black thick woman looking for a white or Hispanic (it's a psychological thing) submissive man to be my houseboy, provide massages, body-worship, cleaning, cooking and providing whatever I desire within reason of course. You must be single because I would like to see you often, handsome, hung and very oral is a plus. Dom/sub relationship and if all goes well open to a LTR. 

Must be drug and disease free, over 25 and under 55. And again must be single and can have me over when I don't feel like being at home. Send a pic with your reply. And put ""ready to serve"" in the headline so I know you're real."
89,"Young New Yorker seeking someone funny, smart and tall. Someone who loves netflix and wine would be awesome. I like older than 45 and a professional man."
90,"Hey,

I'm a pretty and slender black girl looking to have some fun this weekend. Drinks and then who knows? I would like a male companion to hang out with. Is that you? Please no married men.

Please send me a pic and I'll send mine."
91,"Hello all,

Seeking a MALE companion for friendship and possible ltr. Please be 6'0 tall, slim,sane,intelligent,funny,sarcastic,single.


I am 31, plus sized (12),single,attractive woman
Please no flakes ( to meet up). 

I am not looking for a one night stand or sugar daddy.  Just company to hang out  with time to time and see where it goes.

As superficial as it is, please send a photo and I will send one back."
92,"Hi everyone! I'm a 36/f/from westchester county, ny (Ossining). I work as a Teacher Assistant/After School Instructor at a non-profit organization. I love what I do..not many people can say that. Anyway, I have been told I'm a total sweetheart. I'm Italian and Russian. I am 5'3/ reddish-brown hair/brown eyes/sweet smile. One other thing about me is that I am a type 1 diabetic and have been since April 2007. I love life and everything it has to offer. I love my family and friends and am always there for them. I enjoy playing pool, going bowling, watching television & movies, sports, and now more recently going to the gym.

Here are some things I am looking for in someone to enjoy life with (in no particular order of importance):

1. between the ages of 33 and 45 ( I know totally random numbers for my age range).

2. live in Westchester, Putnam, or Dutchess counties in New York

3. caucasian guy (i'm sorry to everyone else but that is who i tend to be most attracted to) 

4. enjoys watching and playing sports of any kind

5. romantic/affectionate (enjoys PDA) 

6. loves movies, music and television

7. would be my best friend as well as my boyfriend and lover ?

8. enjoys open communication throughout the day (not an overkill) 

9.  is an all around great guy 
10. enjoys a variety of activities and going different places

I should point out one thing....I am NOT looking for a ""friends with benefits"" relationship. I tried that once before and did not work out so well. 
I hope that you take some time to read this ad and respond to me. Please contact me through craigslist and I will email you back. Please attach a picture with your email if you are able to and if not then a description. I did not attach a picture because I will send one if I receive one back. Thanks everyone!"
93,"I'm a big white girl looking for an ongoing relationship with a BBC.  Be single, drug and disease free."
94,"Only contact me if you are serious about no longer dating.  I'm a real citizen/woman.

I'd like to meet up with you for a lovely date. I'm a very sensual person, but only for the one that I belong to. I'd like to meet after work, or make weekend plans. Only stable, athletic & single gentlemen. I will only respond to face pics.  You will receive mine."
95,"I'm a 40 year old Asian/American woman, but I look like I'm in my early 30's.  I have long dark hair, I'm a little chubby (emphasis on little) but I started to work out again, I'm 5 ft, 36b/c, no children but would love to have one (I know that window is closing soon).  I have a good job, have my own condo, am a great driver - but don't own a car (so I hope my dream man isn't too far or doesn't mind driving to me...lol)

I have the wonderful gift (HSV2), but it's not really an issue for me.  I've had 2 outbreaks in the last 6 yrs. 

A few words that describe me would be....cute, intelligent, easy going, adventurous, organized, sweet, sexy, playful, independent, affectionate, caring, social homebody (oxymoron I know, but very true). I'm usually up for trying new things once; even if I'm a little scared to do so. After all you, you'll never know what you like until you try it. 

I grew up in NJ, but by no means am I a ""Jersey girl"" like the ones on jersey shore...lol I have 2 little dogs that are my ""hairy crew"" that are always making me laugh. I like the syfy channel and have to admit that I watch Chrisley knows best...I can't believe I just admitted to that...lol Don't worry, it's the only reality show I watch :) I love PB&J; sandwiches, but forget that I do until I take a bite out of one 

I enjoy traveling and seeing new places and cultures. I've been to several countries, but there is still so much of the world to discover. I'm more of a nice hotel kinda gal, but I also enjoy camping :) I'd love to find a man who wants to see the world with me and share all of life's ups and downs. Bonus points if you're a diver like me :)

Please don't contact me if you're only looking for sex, unemployed or just want to tell me nasty things."
96,Single good looking HIV +  BBW looking for my prince in SWM no games or hidden agenda lets chat and see where things go. Will explain more and get to know each each other. I am looking a cmmited relationship but not necessarily marriage.   We can see what works for both of us.  If you're interested please reply with Photo age and your current situation/ relationship inheading to KHADIJA and get a reply from me. No random hook ups or one night stands please
97,"I'm from Kuwait, I live in NY now. I'm an immigrant here and i'm super lucky to be welcomed and have respect, America saved my country once, and respected me here, I am honored and proud to be here. In my wildest dreams I wish to bring an American Army man and introduce him to my mother and sister. They visit often and I would like to have this opportunity. 

My dad was a POW and you guys freed him. He wasn't a good man and he also never gave my mom an orgasm in her life so I guess I hope an American Army man would be able to do that at some point and put him in his place and make her happy for once."
98,"non fiction writer seeks a similar minded writer..being good looking, slim, and mentally secure lol.. are not sources of attraction to me...I like and enjoy imperfections and sharing baggage...(it gets lighter when you share it).  I like men around my age...non-smokers."
99,"Online dating profile consultant available for all of your dating needs. For more info please email me back,"
