,0
56,"I like Asian guys but lately the guys have been dating are horrible and think of me as a sex object.I dated a Indian guy recently and he just wanted sex from me but we never even came close.Then I went on date with a Chinese guy he seemed like the perfect man until that I could marry until we started talking more.I thought he was a 35 year old virgin so I asked he said no he see's an escort 4 times a year because that's all he can afford.He said he liked me because I don't look like and Asian women and I have boobs and curves. I told him I couldn't date him he told me his main need from me was sex. He said he would stop seeing escorts for me and he would wear a condom. I said no thank you. I want to find a nice guy that wants to be with me for more than just sex. I don't want sex I want something better than that. I would really like a man that's, tall,nerdy, cute, smart,virgin,funny,respectful,etc.... I'm open to all Asian guy with a good heart. Just because I am a sbf doesn't mean I am looking for one of those guys from Saudi Arabia or Korea with a huge dick guys their have like 3rd legs I'm not really into that just a normal nice guy around my age that's a virgin.I rather date a guy a little older. I want someone nice and sweet I can have fun with that's not a sex addict or if he gets a boner we can talk about options on how to handle it depending on where we are in our relationship. If you don't want to talk about it that's fine too you can go to the bathroom to handle it.I'm short with curves big boobs and all the stuff with a little extra."
57,I'm seeking a serious relationship but I have a serious condition that's called macromastia/gigantomastia and sometimes symptomatic. My condition causes me pain at times but I don't like to take medication I just rest. I'm looking for a man that can accept me with my condition. I want to find a nice man that will look at me for more than my condition. Right now I am in pain from my condition and have a hurt shoulder. I know this is a weird way to kind of say what I want but the best way I know how. I know guys that like trannies that say they are women and trannies that want to be treated as women are like ignore their penis. I want a man to treat me as if I am flat chested. I want to be liked for my brain and not my boobs. I am more than my boobs. My boobs cause me so many problems. As my caregiver sometimes I will need a back rub or my shoulders need to be rubbed. I would like to be more active but my condition stops me at times. If I had someone to help me maybe I can recover or become more active.
58,"I like Asian guys but lately the guys have been dating are horrible and think of me as a sex object.I dated a Indian guy recently and he just wanted sex from me but we never even came close.Then I went on date with a Chinese guy he seemed like the perfect man until that I could marry until we started talking more.I thought he was a 35 year old virgin so I asked he said no he see's an escort 4 times a year because that's all he can afford.He said he liked me because I don't look like and Asian women and I have boobs and curves. I told him I couldn't date him he told me his main need from me was sex. He said he would stop seeing escorts for me and he would wear a condom. I said no thank you. I want to find a nice guy that wants to be with me for more than just sex. I don't want sex I want something better than that. I would really like a man that's, tall,nerdy, cute, smart,virgin,funny,respectful,etc.... I'm open to all Asian guy with a good heart. Just because I am a sbf doesn't mean I am looking for one of those guys from Saudi Arabia or Korea with a huge dick guys their have like 3rd legs I'm not really into that just a normal nice guy around my age that's a virgin.I rather date a guy a little older. I want someone nice and sweet I can have fun with that's not a sex addict or if he gets a boner we can talk about options on how to handle it depending on where we are in our relationship. If you don't want to talk about it that's fine too you can go to the bathroom to handle it.I'm short with curves big boobs and all the stuff with a little extra."
59,"I'm looking for a real African man straight out of Africa. I like a man from the the following countries Mali, Morocco,Algeria, Libya,Tunisia,Egypt,Ethiopia. I am open to a white guy from South Africa I don't know what it is but never saw a white guy from there I didn't like. I like big strong guys. I'm to guy's in surrounding countries as well such as: Spain,Saudi Arabia, Yemen, Oman, etc.... I'm into Middle Eastern and Mediterranean if you didn't notice.  I'm looking for a nice guy I can learn from and have fun with."
60,Hey guys I just moved here for school and I'm looking for decent men in the area that I can spend my time with since I am on break and I don't have much to do so if you want to maybe trade some pictures and go ahead and get to know each other better then go ahead and call or text me at 213282sevenO73  and I don't mind older men and I also listen to my voicemails if you call Late
61,"I am a 34 year old single mom of twin 13 year olds, I work full time in the medical field have been at my job many years and have my own home and car so yes gentlemen I am independent. My looks are this I'm a BBW, curvy or however you like to describe it. I have freckles, wear glasses and look like a white girl but I'm Portuguese. I'm not in a rush for anything just wanting to see what's out there but I don't like flakey guys, playing games or drama. My preference is Latin men but have dated other nationalities between the ages of 25-40. I like the movies, beach, camping, traveling, eating out, going out to shows or just staying home watching movies. I live in Salinas but Im willing to commute as far as San Jose. I'm affectionate, romantic, like to cuddle and a guy who pays attention. I have a busy schedule but what do you expect for a single mom if you can't handle this please don't reply."
62,"So it's 2 am and I cant seem to sleep so decided to come searching on cl. Guess my main question is: are there any good guys left? I seem to find the ones who don't know what they want even if they say they do. What's up with that huh? You either know it or you don't. Stop with all the bullshit games....we aren't in high school anymore. I'm looking for someone with a good head on their shoulders, funny, have a job, and maybe somewhat country. Please be around my age so 28-38. I'm 5'4 and thick...yes that does mean I have meat on my bones. I have a job and also a full time mom to my daughter. That means no bullshit coming from me...what you see is what you get. I'm a country girl at heart so that does mean country music, fishing hiking and guns."
63,"HelloMy Dear Someone,
""Looking for a boyfriend/Bestfriend in San Jose for coffee first!""
Looking to first meet someone for coffee in San Jose. I'd like to be friends first n hopefully I'll find someone nice for my future ""nice gift""~BF(=Boyfriend & Bestfriend in the future!) I'm 39, smart, easy-going, cute Asian, have a sense of humor, I think I'm a nice friend! :) Looking for a nice, smart, single (no kids)age 39~49, average weight or fit. Please send me a recent picture and a message n I will get back to you. Or u can call me too! Thx! I'll talk to u soon! :)"
64,"Hi there


I would like to find a roommate who at the time we have fun we share and we exchange our different language and cultures.
If you have interest just tell me about you how old are you, where you live and what you like to do in your free time.  I'm in my 40's, Smart, positive, real caring, affectionate, live a healthy lifestyle, I don't smoke, no drunks and any drugs. My hobbies are, go for a walk, swim, go to different places, go to the beach and cook.
I looking for a honest, good communicator, man with positive goals, romantic, respectful, who loves family life and looking for healthy life. Someone who lake share with others and help others,  who likes to do things with his partner and share their feelings and goals with her.
Looking for a good man who appreciates his woman and try her how he would like to be treated.
I am Curve, Latin girl.  
I looking for a good man without vices
 -Age between 40 to 50 years old.
 -You have be around the Bay area.


If these interest you and you are seriously, please tell me something about yourself and why you are a good match for me. 



You have to put your location and your name in the subject line of your email. ( I will know if you are real)
Thanks for your time."
65,"I want someone to keep up, but also know that we are both better for being together. I'm confident, outgoing, always looking to take on a challenge, professionally successful, and personally together.

A few things about me:
- Pick my battles. Don't waste the energy and emotion on the stuff you really don't care about.
- I laugh a LOT. Sometimes even when I am in pain or sometimes to the point of pain.
- Intellectual and mental stimulation is the way to my heart and other parts of my body.
- I LOVE learning about new things. I'm a sponge.
- Giving is incredibly important to me.
- I thrive on new experiences. I like stretching.
- I work for sport meaning I still need the money, but I do enjoy my work.

Things that are a little different about me
- I love to travel for fun, but also travel for work. I have been to 7 continents and over 20 countries.
- I am the person who will pretty much try anything.
- I've lived in about 10 states and I am not military.
- I am a sucker for the underdog, though this is probably true of a lot of people.
- I am incredibly decisive. I'd rather make the wrong decision than no decision at all.
- I am transparent and open to the point of painful though I am never mean about it.

I could continuing to create bullet points, but, ultimately, I realize that chemistry is in the nuance and can only be determined in person. Let's have a few email or chat exchanges and see if there's something worth leaving the house for."
66,"I'm not looking to play games.  I'm looking for something real.

I'm 34, sweet, kind, smart and so many other things.  

I don't want to waste anyone's time. So if you are serious send me an email. 

Xoxo"
67,"Tired, but not ready to call it a night.  Would love to exchange a little witty banter with someone while I finish working.

I'm single, female, smart, etc.  If it's fun, I'm open to meeting up and seeing if there is more there."
68,"Nothing makes me happier than a good, long, thorough foot massage. It can get to the point where it triggers endorphins or is serving as an aphrodisiac in a sort of way.  I love them!

While I understand the foot fetish dynamic, I think I truly am seeking someone who gets genuine pleasure from making one woman feel perfect. Not to say that I wouldn't deal with someone with a foot fetish, I don't want this to be solely (no pun intended ha!) about feet related kink. It would be great to have sex and go to dinner etc..  I find myself attracted to nice guys who like to put a girl first. Foot massages are just at the top of my sexy time list... hehe.

I am tall and have been described as voluptuous but am height/weight proportion. I have long hair and keep a french pedicure. :) I work and live in SF, work out a few times a week and vote. For the most part I am unmaterialistic and enjoy watching sports on TV and going to games. Usually I spend my extra money on travel instead of clothes or hand bags.. What else, what else... oh yes an atheist and not a burning man person. Centerist. 

While usually I would avoid something like this, I post here because of the nature of this being so specific and well, it isn't first date appropriate conversation. I figure if this guy is out there, he is likely here or maybe at least looks here. He is likely other places too, but here for something that isn't first date appropriate as well. 

Looking for someone
-Over 35
-In SF
-Single
-no kids

If you feel this is for you, send a note :) In your email, you must include some info about yourself, height, location etc.. and anything else to get an idea of who you are. Pics are welcome and help. 420 friendly a big plus.

Of course I can't reply to all but I will if you have a nice reply and seems like a possible fit. Best wishes to everyone out there reading this!"
69,"Thank you for clicking on my post. I'm an educated and professional lady in my 40's. Interested in meeting a single man older than myself (45+) for dating with potential for something long term. I'm also interested in the possibility of living together at some point. I have fair skin, dark hair and dark eyes. Curvy body type. I enjoy romance and spoiling my guy in every way. Love to laugh and have a good time. Very down to earth and non materialistic. I'd rather spend quality time with you vs getting material gifts from you. Some of my interests include going for drives, watching movies and TV, listening to music, looking at art, travel and exploring new places. Cooking at home while enjoying a few libations. Love to kiss and cuddle. Would be great if you're a fellow dog lover.  If any of this strikes a chord with you, I'd love to hear from you soon. Have a great day / night. Also your pic gets mine. :) :) Best of luck in your search."
70,"Thank you for clicking on my post. I'm an educated and professional lady in my 40's. Interested in meeting a single man older than myself (50+) for dating with potential for something long term. I'm also interested in the possibility of living together at some point. I have fair skin, dark hair and dark eyes. Curvy body type. I enjoy romance and spoiling my guy in every way. Love to laugh and have a good time. Very down to earth and non materialistic. I'd rather spend quality time with you vs getting material gifts from you. Some of my interests include going for drives, watching movies and TV, listening to music, looking at art, travel and exploring new places. Cooking at home while enjoying a few libations. Love to kiss and cuddle. If any of this strikes a chord with you, I'd love to hear from you soon. Have a great day / night. Also your pic gets mine. :) :) Best of luck in your search."
71,"Looking for a chill guy to chat eventually meet up hang out. Im a chill Latina , i like chilling at home or going out. Pic for pic. 420 friendly. No couples."
72,"Hello!

Searching for a real man, with a good heart, and common sense.  MUST BE OVER 50 yrs old (do not reply if you are younger...seriously!).  I like men who have a good sense of who they are...not arrogant, but confident.  Don't care about height, weight, or if you have hair or not.  I do like tattoos, but am looking for what is inside.

I would prefer you have hobbies, such as; old cars, motorcycles, etc., where you have friends and do things, as I am not going to be your everything...just what you come home to and snuggle at night and smile when you think about me.  I will do the same.

I am 57 yrs old, have a good job and career.  I have my own home (me and the bank).  I have adult children.  Love dogs, and have one.  I am 5'3"" tall, overweight, blondish hair, and green eyes.  I have a sarcastic sense of humor, but intelligent.  I am a woman and think like one quite a bit of the time.  I am very patriotic, and love all holidays.  

If you really want to get to know me then send me something asking questions.  I don't want you to send me idiotic romance phrases...truly I can't imagine women in their 50's falling for it.  But, hey, to each their own.  I love romance, but seriously I do not know you and you do not know me, so start off by really trying to get to know me.  

I am looking for a long term forever relationship.  

Good Luck"
73,"made in france
long life baterry
available in Red , white, Ros??
Naturally sparkling"
74,"I'm looking for partner I will grow old with. I'm 49 years old, white, good looking, and well groomed. I'm realist, have no illusions, neither extravagant dreams. I'm intelligent,  live comfortable life; have great education, healthy life style, and satisfying job. 

Who am I looking for? Friend, lover, soul mate. 45 to 55 years old. Confident, bright, intelligent, with sense of humor, and stable career. Physically fit. No alcohol, drugs or other addictions. No drama. Not married, not recently separated. Tall.(at least 5'9)

Your pic and description will get my full attention."
75,"european girl looking to meet friend 
new single since 2 weeks 
i like meet with nice man"
76,"Hi

Thank you for reading my ad

I'm looking for a gentleman to spend some time with and get to know. Ultimately I would like to end up in a long term relationship with the ""right"" person.

I enjoy outdoor activities, the beach, hiking, dinners out, dancing, live music, wine tasting and travel. I like trying new things and am up for most any adventure.

Please be financially self sufficient.

I'm 5'4"", blond, blue eyes, and fit.

Please answer with a photo of yourself and some of your interests. I will reply with a  photo of myself

Also, please be close to my age and live nearby"
77,"African-American prince for  play time. You will be clean, STD and HIV free. Professional and financially stable, open to the possibility of meeting up once in a while.  I want you with an open mind, always very transparent and honest no hungs ups of any kind and no bull shit of any kind, please. Your picture will get mine in return."
78,"A little romance (or illusion of it anyway?)? 

Looking for a single (yes, no love triangles) white professional, in the city of San Francisco, able to host, available tonight (Thursday).

Late dinner, maybe drinks? 

Me? I'm a SWF, professional, intelligent, educated, not fancy yet appreciate fancy, not into dirty or kinky, just a normal Jane. 5'8 and slim.

Send a pic and your ideas!"
79,"I am looking to join a couple or a house hold of poly adults, in their 40s to 50s. I'm pretty open to anywhere, looking for the next chapter of life and have never been good at monogamy. But I still want loving relationships and community spirit. If you are interested in having a single, sexy woman in your home, let's talk."
80,"Or should it be Netflix and chill? Ha! It shows my age, 41 Filipina looking to make new friends and very open to it leading into a LTR."
81,"I know, this is as bad as men posting "" Looking for Big Breasts"", but I AM curious. I know the hip thing is short on the sides longer on top with a beard. It's cute, but I really like long hair on guys. I am NOT talking mullets here! Down to the collar or down the back, long hair is just damn sexy. Plus, usually the men that have long hair tend to not follow fashion trends or care much about what other people think, which, in itself is sexy. Maybe it because I grew up in the late 60' early 70's, but I just love long hair. Any of you out there?"
82,"Hi there,

I'm fit, healthy, no kids, and educated (college grad). I have long dark brown hair and dark brown eyes. I've been told that I'm cute, sweet, classy, have a great sense of humor, and look much younger than my age.
I'm humble, easy going, caring, thoughtful, family oriented, open minded, devoted, and honest.
I like swimming, biking, traveling, cooking, gardening, walking, dinning out, and listening to music.

I'm looking for a meaningful and serious long term relationship with a single/divorced Caucasian man who doesn't smoke, smart, loving, successful in his career, caring, honest, fit, respectful, genuine, and outgoing.
Your ages between 43 to 58 and no allergic to cats!

Please respond with your recent pictures and tell me a little bit about yourself.
Thanks for reading to my ad and I'd look forward to hearing from you soon!"
83,"Though we are born into a culture that emphasizes our differences from other animals, our actual experience tells us differently. Those of us with companion animals, for example, know without doubt that they have distinct personalities and preferences, emotions and drives, and that they feel and avoid psychological and physical pain...Dr William Tuttles; WORLD PEACE DIET -book

swf healer, 55, organic herbivore, like my immediate family, astrologer, all creatures whisperer (silly term) fellow earthling, with bovine equine and angora caper and Capras...sisters and brother, all my true family in spirit."
84,"OK.  This is a growth opportunity for me--time to look outside my inner circle of people for someone to spend time with.  I'd really like to connect with a SWM who is at least my age or older (45+), is financially stable, open-minded, and funny.  One of my favorite things to do in the world is laugh!  

I'm not a barbie doll, but I do get to the gym and I try to be good to myself. I'm also smart, sarcastic and strangely fascinating!  I have a good career and social life that I drift in and out of.  No real expectations for the responses I will get, but if you're just looking for a one-time sex buddy, I may not be the one....

If this resonates with you...let me know! 

SWF 45 in SF :)"
85,"Good afternoon.
Why are you looking here?
Are you seeking a new romance?
Please reply if you have free weekday time.
No disappointments."
86,"Hello ....

I am in the Bay Area for the summer .... I am staying at my aunt and uncle's house while they are in Europe.  They are here until Sunday, so I won't really have time until then.

I wasn't sure that this would be the best place to put this ad - I'm not looking for super long term since I go back to Seattle at the end of August, but I don't know that I'm ready for ""casual encounter"" exactly.  I have only had one boyfriend and we only did a little bit of sex.  I also had a one night stand after we broke up.  I am a little shy in person but am open and honest when I feel comfortable.  I am a little overweight and am kind of self-conscious about it.  I have brown hair and am 5'5"".  I look younger than I am I think."
87,"Hi I'm Pen. I'm a mom, busy, and not looking to get harassed for sex or pics.
I'm just looking to have good conversation and take things slow. I'm African American 5'5, hazel eyes, high cheek bones, and full pink lips. I have tattoos (some you can see, others you cant;)) and I'm definitely BBW.

I like to read (understatement), cook, play and have good conversation.
I like to go to the movies, beach, and just drive.
I hate planning my own dates, paying for a man, and big men (sorry)

I'm looking for a FWM between 26-32 to talk with. I like my men sexy, tall (5'10 and up), and muscular to Athletic ""FIT"". Please don't respond if you are married or not what i described. I want someone who can hold a conversation, is a gentleman, likes music, laughing, and bbw woman. I want to talk with someone who values family, likes kids, and has a path planned for himself.
Message me if you fit that description. Put ""swirl"" in the subject bar, and tell me about yourself, what you like and why your here. You can send a pic now or later but you won't get mine till I get yours."
88,"Smart, flirty, playful, educated woman, looking for a fun and flirty intellectual equal who understands the value of good conversation and establishing a connection.  

Please be charming, fun and easy going - in reasonable shape and value playful banter.  If you understand that it's all about appealing to the mind, this could go well...  Easy on the eyes would be nice. And somewhere between the age of 40-50.

I am in reasonable shape, cute, exotic looking, silly and fun.

If so inclined, please reply to charm and appeal... short, one liners, and stupid pics will be deleted.

No drugs, disease, smokers, bad tempers, married men and anything generally not fun."
89,"It's been a while, and I needed that time to reconnect with myself. I'm feeling ready to date but for whatever reason, it's been tough. Maybe I'm more vulnerable than I think, or just need a little extra charisma to get things going.

I'm the kind of person who can turn on the dazzling charm and magnetize people to me. Sometimes I do it without realizing, if I'm looking and feeling good. Other times I have to consciously turn it on, and that can be very draining. Without the excitement of romance and sex in my life, I'm finding it hard to switch on. The last breakup was hard, it blew out my fire for a while.

I think to feel sexy and myself again, I need the frisson of chemistry with a hot and interesting man. I could be wrong, it might be me that brings all the magic. But I crave connection. 

I'm youthful for 39, attractive, fat and extremely curvy. Dark hair, fair skin, extraordinary style. I'm funny, thoughtful, easy to talk to. I've been in the city for a long time, and somehow manage to live the glamorous life I always wanted. Just my sex life has been missing for a while, which is dreary.

I love good looking, confident, and intelligent men. It helps if you are single. Being in San Francisco is crucial to this endeavor. Please be able to invite ladies to your home if you want to.

Write to me and include photos. I have photos to reciprocate.

Thank you for reading."
90,"This is a real ad. I am 5'6, green eyes and long brown hair, college educated and hard working. I am plus size and I know what I am looking for.
I am hoping to find a single white male between the ages of 28-38 who is intelligent, honest and appreciates a big woman. I'm NOT looking for FWB or a booty call.

Some guys on here will message me back saying your are too big to be too picky or whatever else close minded response, but everyone deserves love. No matter their size, race, etc.

If anything I said interests you please message me with a picture. I will send a picture only after you send one."
91,"Isn't that what we would like to enjoy with each other regularly?  I know I do and would so like something on going with nsa.  You are a SWM, 50 plus ,in a not working marriage  might be ok too, fun to be with,in good health,not bisexual."
92,"Smart and nerdish Asian girl seeking smart and nerdish guy for a Friday night date. Love to travel, hike, and explore. 5'6, Asian, seeking white or Asian between 28-38 yrs old, please send a photo and a few ideas for Friday :)"
93,"I'm single and looking for a nice man. From what I have noticed I like a original man that's quiet with good manners that won't hurt you. From my dating experience guys I have dated from these places are generally very respectful and care about my feelings and won't have sex with me unless married and I like that because they respect me. I'm not into every African or Asian guy I'm just looking for the one that's right for me. I want a man that's never been married that's, nice, smart, independent, no kids, educated, has a job or career. I don't want someone that's just nice and cute I want someone that gets me and I can have fun with. I want someone that's sweet and thinks of me but not in like a stalker way. A man with a good heart that does nice things just because. I want a guy to teach me new things and I would like to teach someone new things as well. I'm not looking for a guy that had moved to America and just lost himself and culture and became a rude slut. I want a man with morals and self respect that's looking to fall in love and get married."
94,"Evolving, balanced, deep, whimsical, artistic, refined, strong, tender, yearning, present, able.
Soul, intellect, heart, body. . . alive and integrated. Natural and urban, witty and wise. 

Responding to replies with specifics of your own inner states and outer circumstances and locale. 

Light & laughter, 
here & beyond"
95,"I am searching for a man that is hard working, honest, caring, kind, upfront and with no drama. I want a man that together we can achieve great things. I want a man that is ready to build a long term serious relationship. 
A man that has his life well set up. I am not a liability, I am hardworking, kind, caring, loyal, upfront, love to smile, cook, swim, dance and meditate. I want a man between the ages of 40 to 78. Kindly send me your picture and tell me about yourself."
96,"I'm a kind, honest, fun, sweet Chinese woman with a lot of good qualities.

I act, look and think much younger than my age.

I'm very optimistic and have good temper. you should be too.

I enjoy music, dining out, live concert, travel and more.

I'm looking for either a white or Asian male who is in his late 50's or early 60's, non smoker and live in the SF Bay area. (I am not interested to date someone who live far from me or someone younger than 55)

Please reply with your picture and include your height, hobbies and location. Thank you."
97,"I'm a kind, honest, fun, sweet Chinese woman with a lot of good qualities.

I think, look and act much younger than my age.

I'm very optimistic and have good temper. you should be too.

I enjoy music, dining out, live concert, travel and more.

I'm looking for either a white or Asian male who is in his late 50's or early 60's, non smoker and live in the SF Bay area. (I am not interested to date someone who live far from me or someone younger than 55)

Please reply with your picture and tell me about your height, hobbies and your city. Thank you."
98,"Howdy.

I'm thinking of putting together a singles group for professional people who work/ keep odd hours.  Not for out of work people who will soon go back to their mon-fri 9-5 lives or students.  People who will have the same availablility for a while.  

It would be for or people who work Saturdays, throw barbeques at noon on Wednesdays, go dancing on Thursdays, and enjoy more of SF during the day time or late at night.

No married guys please."
99,"Ahhh summer weather!

Ahhh sunshine and longer days!

Ahhh all the concerts, festivals, outdoor activities and outdoor dining with great summertime food.

I love it all! I would love it more if I had a great guy to enjoy it with. 

Of course the guy needs to be completely and unconditionally single because being ""the other woman"" is not the kind of summer date I am looking for.

A man who is in my age group is strongly preferred.

Drop me a few lines and tell me what you like to do for a summer time date, your age, location, and then we'll chat, maybe set something up."
